date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:59:04	1165/1165	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Jul%202019%2006:18:14%20GMT	https://shibatoken.com/robots.txt		(from )
19:59:04	34398/34398	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20May%202021%2005:39:34%20GMT	https://shibatoken.com/	C:/My%20Web%20Sites/Shiba/shibatoken.com/index.html	(from )
19:59:04	1115853/1115853	---M-Z	200	added ('OK')	text/css	etag:%221106cd-608c988f-e08e0dda6a7eb93c;gz%22	https://shibatoken.com/nicepage.css	C:/My%20Web%20Sites/Shiba/shibatoken.com/nicepage.css	(from https://shibatoken.com/)
19:59:04	24960/24960	---M-Z	200	added ('OK')	text/css	etag:%226180-608c988f-5ff5d44175d51431;gz%22	https://shibatoken.com/index.css	C:/My%20Web%20Sites/Shiba/shibatoken.com/index.css	(from https://shibatoken.com/)
19:59:05	89476/89476	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215d84-608c988f-57c256cf3c33f2f9;gz%22	https://shibatoken.com/jquery.js	C:/My%20Web%20Sites/Shiba/shibatoken.com/jquery.js	(from https://shibatoken.com/)
19:59:05	159524/159524	---M-Z	200	added ('OK')	application/x-javascript	etag:%2226f24-608c988f-b5fb02549d248b18;gz%22	https://shibatoken.com/nicepage.js	C:/My%20Web%20Sites/Shiba/shibatoken.com/nicepage.js	(from https://shibatoken.com/)
19:59:05	34398/34398	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20May%202021%2005:39:34%20GMT	https://shibatoken.com/index.html	C:/My%20Web%20Sites/Shiba/shibatoken.com/index-2.html	(from https://shibatoken.com/)
19:59:05	126789/126789	---MCZ	200	added ('OK')	image/x-icon	etag:W/%221ef45-608c988f-4fe13ba324afdb93;;;%22	https://shibatoken.com/img/favicon.ico	C:/My%20Web%20Sites/Shiba/shibatoken.com/img/favicon.ico	(from https://shibatoken.com/)
19:59:06	2457/2457	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Jul%202019%2006:18:14%20GMT	https://shibatoken.com/276436894	C:/My%20Web%20Sites/Shiba/shibatoken.com/276436894	(from https://shibatoken.com/)
19:59:06	6537/6537	---M--	200	added ('OK')	image/png	etag:%221989-608c988f-c6f5aa44e90e5d0e;;;%22	https://shibatoken.com/img/shib_logo_header.png	C:/My%20Web%20Sites/Shiba/shibatoken.com/img/shib_logo_header.png	(from https://shibatoken.com/)
19:59:06	261412/261412	---M--	200	added ('OK')	image/png	etag:%223fd24-608c988f-f87b17ccfc44349e;;;%22	https://shibatoken.com/img/shib_ch_le.png	C:/My%20Web%20Sites/Shiba/shibatoken.com/img/shib_ch_le.png	(from https://shibatoken.com/)
19:59:06	162022/162022	---M--	200	added ('OK')	image/png	etag:%22278e6-608c988f-1b484fb0610e0967;;;%22	https://shibatoken.com/img/shib_logo2.png	C:/My%20Web%20Sites/Shiba/shibatoken.com/img/shib_logo2.png	(from https://shibatoken.com/)
19:59:06	140391/140391	---M--	200	added ('OK')	image/png	etag:%2222467-608c988f-b085a956d861089b;;;%22	https://shibatoken.com/img/uniswap_logo.png	C:/My%20Web%20Sites/Shiba/shibatoken.com/img/uniswap_logo.png	(from https://shibatoken.com/)
19:59:07	18817/18817	---M--	200	added ('OK')	image/png	etag:%224981-608c988f-82dc105b62ebef57;;;%22	https://shibatoken.com/img/wallet.png	C:/My%20Web%20Sites/Shiba/shibatoken.com/img/wallet.png	(from https://shibatoken.com/)
